1,category,title,content,createdAt,preview_image_url
2,Статья,Главные разочарования iPhone 15,"Презентация, прошедшая 12 сентября, принесла сплошные разочарования: часы, которые получили лишь новое железо, а также «новую» фишку — управление пальцами. Ставлю в кавычках, поскольку эта штука, на самом-то деле, была доступна уже несколько лет. Аналогичная история и про айфоны: Apple настолько нечего было сказать про них, что она потратила очень много времени на спичи про экологию, поддержку MagSafe, в котором не изменилось ничего с iPhone 12, а также частично повторила летнюю презентацию, почти процитировав анонс iOS 17. В общем, мы разочарованы последним эвентом.\n\nНо вот прошло два дня, и стало понятно, что разочарованы мы не только им, но и показанными продуктами. Ожиданий от iPhone 15 и 15 Plus особо не было, и почти все инсайды сбылись, кроме насыщенности расцветок корпусов, а также непоняток с камерой (Мин-Чи Куо ранее сообщил, что эти айфоны получат слоёный сенсор, но так ли это, пока неизвестно).",1694918120,https://wylsa.com/wp-content/uploads/2023/09/iphone-15-pro-2.jpg
3,Новости,Камера iPhone 14 Pro получит фишки от iPhone 15,"К камерам новых iPhone очень много вопросов. Мы вот вчера с Ильёй Кичаевым пытались разобраться, как iPhone 15 Pro и Pro Max снимают 24 Мп фото, ведь область биннинга (объединения) пикселей квадратная, и с матрицы на 48 Мп таким образом можно получить только 12 Мп. Пришли к выводу, что, вероятно, это просто программное понижение разрешения изображения.\n\nТем не менее мы точно знаем, что различий между модулем камер в 14 Pro и 15 Pro никаких (новое антибликовое покрытие не в счёт), а iPhone 15 и вовсе работает на том же А16 Bionic. Так что все новые функции камеры, показанные на презентации, вполне могли бы быть реализованы на предыдущем флагмане. Зная Apple, логично было бы предположить, что в угоду маркетингу это не случится, но…\n\nВ предрелизной сборке iOS 17 обнаружили, что iPhone 14 Pro и 14 Pro Max получат возможность смены зоны фокуса на уже отснятой фотографии. Причём это касается не только новых снимков, но и всех кадров в галерее, которые уже были сделаны в портретном режиме. Также iPhone 14 Pro, наконец, сможет снимать 48 Мп снимки не только в RAW: появятся два новых формата (HEIF MAX и JPEG MAX).\n\nНа этом хорошие новости заканчиваются, и никаких 24 Мп фото и интеллектуального портретного режима со Smart HDR 5 и Spatial Video владельцы 14 Pro не увидят. Ну и на том спасибо.",1694818120,https://wylsa.com/wp-content/uploads/2022/09/iphone-14-pro-3.jpg
4,Новости,WhatsApp опять под угрозой блокировки в РФ,"Вчера в блоге WhatsApp объявили о запуске каналов, которые были анонсированы ещё в июне. Функция станет доступна для пользователей в 150 странах по всему миру. И если в этом списке окажется Россия, то велика вероятность блокировки ресурса в след за остальными продуктами Meta*.\n\nНапомним, что в прошлом году, когда принималось решение об ограничении доступа к соцсетям компании Цукерберга, WhatsApp не тронули как раз потому, что, по мнению Генпрокуратуры, он «используется для личного общения, а не для массового распространения информации».\n\nА вот каналы как раз имеют к распространению информации прямое отношение, и не прошло и суток после анонса, как в Госдуме и Совете Федерации сразу публично заговорили о необходимости заблокировать мессенджер. Позже в Роскомнадзоре пояснили, что это не произойдет сразу после введения нового функционала:",1694915120,https://wylsa.com/wp-content/uploads/2022/02/1003.jpg
5,Статья,"Сколько нужно работать в разных странах, чтобы купить базовый iPhone 15 Pro?","Презентация новых айфонов прошла два дня назад как, а на ней продолжают плодить контент. Оно и понятно: аудитории интересно любое упоминание этих устройств, даже если это Android-пользователи, неугомонно желающие заявить о своём превосходстве.\n\nАналитики Picodi Россия посчитали, сколько дней нужно будет работать в разных странах, чтобы заработать на новый iPhone 15 Pro на 128 ГБ. В США его цена стартует с $999 до уплаты налогов (за такую сумму можно купить только в четырёх штатах). В Европе — от 1249 €, а в России ретейлеры назначили стартовую цену в 146 990 рублей.",1694912120,https://wylsa.com/wp-content/uploads/2023/09/iphone-15-pro-4.jpg
6,Новости,"Apple Watch Series 9: старые внешне, новые внутри","Apple на довольно скучной презентации показала новые продукты. \n\nApple продвигает новые часы с акцентом на S9. Как нас заверяет компания, это самый мощный чип за всю историю часов: «Новый двухъядерный процессор имеет 5,6 миллиарда транзисторов — на 60 % больше, чем в S8», — говорится на странице, посвящённой часам.\n\nСистема-на-чипе получила новый четырёхъядерный процессор Neural Engine. Он нужен для нейровычислений. И в новых Apple Watch Series 9 они, судя по всему, потребуются: анонсирована Double Tap — функция, с помощью которой вы можете управлять часами той рукой, на которую они надеты. Выглядит это так, будто вы указательным и большим пальцами легко касаетесь друг друга. С помощью этого жеста можно отвечать на звонки или сбрасывать их, выключать таймер, управлять музыкой и много ещё чего:\n\nЕщё одно нововведение — яркость дисплея. Как и у Apple Watch Ultra, показанных год назад, она выросла в два раза и достигла 2000 нит. LTPO и прочие радости OLED-дисплея часов присутствуют, то есть Always-on-Display работает без каких-либо проблем.",1694909120,https://wylsa.com/wp-content/uploads/2023/09/apple-watch-s9-hero-230912.jpg
7,Аксессуары,Что бы я себе подарил в августе,"Уехал в отпуск пить пиво «Лев», скоро уже вернусь, ну а в начале текста хочу вам рассказать про бодрое путешествие в Санкт-Петербург в середине августа. С друзьями сделали это хорошей традицией и каждый год выбираемся примерно в одно время. Цель одна − разведать новые места, погулять, насладиться городом. Самое полезное для читателя − как раз те самые места, так что просто перечислю. Обязательно сходите в Juan Cantina Espanola, обязательно сходите в Bistrot Le Moujik, обязательно сходите в Pame (вот сюда − бегом!), обязательно сходите в Blackchops. Все места ТОП, и крайне рекомендую! Ну а если вы не любитель ресторанов, то хотя бы просто сгоняйте в Питер, пока тепло − получите массу удовольствия.\n\nНу а теперь давайте скорей кинемся в различные вещи и явления. Хотя для начала не могу не сказать пару слов про отель, где происходит распитие пива «Лев».\n\nAyada
Мальдивы многих пугают ценой, дальностью и бодрыми ценами в отелях − между тем туристический поток за последние пару лет очень-очень-очень сильно вырос, и каждый путешественник найдёт тут для себя развлечение. Можно отлично пожить в отеле с тремя звездами, если нужны солнце, воздух и вода. Можно найти адский люкс с мишленовским шефом и набраться здоровья таким образом. Можно найти средний вариант и чудесно провести недельку, потратив меньше, чем в Сочи (как профессионал Сочи я вам это ответственно заявляю).\n\nМы уже второй раз выбрали отель Ayada и второй раз не пожалели. Это довольно большой остров, 600 на 400 метров − вроде бы смешно, но по местным меркам это много. Жить можно на вилле в джунглях, на вилле на пляже или на вилле прямо в океане, мы традиционно выбрали виллу на пляже, так как здесь и в океан можно нырнуть, и бассейн есть, и полное ощущение этакой дачи. Моё guilty pleasure − валяться вечером в бассейне, смотреть на звезды и покуривать сигару, чего в обычной жизни никогда не происходит (в эту поездку открыл для себя H. Upmann No. 2). Ну а если не guilty pleasure − есть вкусная еда в ресторанах, океан, купание и валяние дурака, можно сходить в зал, но лучше этого не делать. Постоянные тридцать градусов разрушительно влияют на стремление к спорту, и лучше успокоиться, расслабиться и пить уже упомянутое пиво «Лев».",1694918120,https://wylsa.com/wp-content/uploads/2023/09/arctic_back_1920x930_d.jpeg
8,Новости,Что мы знаем про Apple Watch Series 9?,"Apple Watch как-то совершенно затерялись в инфополе на фоне шквала слухов про стоимость и нейминг новых iPhone. Оно и понятно: согласно утечкам, нас не ждут никакие кардинальные изменения, а всё самое сладкое Apple припасла на следующий год к юбилейному поколению часов.\n\nВ основном все нововведения будут внутри. Во-первых, Apple Watch наконец получат новый процессор, и Марк Гурман полагает, что в презентации основной упор будет сделан именно на быстродействие новой модели. Также все часы линейки получат улучшенный датчик сердцебиения и новый чип U2 для более точного отслеживания местоположения устройства.\n\nПомимо этого, сообщается, что Apple Watch Ultra теперь будут выпускаться еще и в темной расцветке, а с оригинальными кожаными ремешками, судя по всему, придётся распрощаться. Было бы странно оставить их в продаже после отказа от кожаных чехлов для iPhone. Причём речь идёт не только о стандартных ремешках Apple, но и о «Hermes»: согласно внутренним источникам, недавно компания позволила сотрудникам выкупить остатки с огромными скидками.",1694813020,https://wylsa.com/wp-content/uploads/2023/05/1604-4.jpg
9,Статья,Главные разочарования iPhone 15,"Презентация, прошедшая 12 сентября, принесла сплошные разочарования: часы, которые получили лишь новое железо, а также «новую» фишку — управление пальцами. Ставлю в кавычках, поскольку эта штука, на самом-то деле, была доступна уже несколько лет. Аналогичная история и про айфоны: Apple настолько нечего было сказать про них, что она потратила очень много времени на спичи про экологию, поддержку MagSafe, в котором не изменилось ничего с iPhone 12, а также частично повторила летнюю презентацию, почти процитировав анонс iOS 17. В общем, мы разочарованы последним эвентом.\n\nНо вот прошло два дня, и стало понятно, что разочарованы мы не только им, но и показанными продуктами. Ожиданий от iPhone 15 и 15 Plus особо не было, и почти все инсайды сбылись, кроме насыщенности расцветок корпусов, а также непоняток с камерой (Мин-Чи Куо ранее сообщил, что эти айфоны получат слоёный сенсор, но так ли это, пока неизвестно).",1694918120,https://wylsa.com/wp-content/uploads/2023/09/iphone-15-pro-2.jpg
10,Новости,Камера iPhone 14 Pro получит фишки от iPhone 15,"К камерам новых iPhone очень много вопросов. Мы вот вчера с Ильёй Кичаевым пытались разобраться, как iPhone 15 Pro и Pro Max снимают 24 Мп фото, ведь область биннинга (объединения) пикселей квадратная, и с матрицы на 48 Мп таким образом можно получить только 12 Мп. Пришли к выводу, что, вероятно, это просто программное понижение разрешения изображения.\n\nТем не менее мы точно знаем, что различий между модулем камер в 14 Pro и 15 Pro никаких (новое антибликовое покрытие не в счёт), а iPhone 15 и вовсе работает на том же А16 Bionic. Так что все новые функции камеры, показанные на презентации, вполне могли бы быть реализованы на предыдущем флагмане. Зная Apple, логично было бы предположить, что в угоду маркетингу это не случится, но…\n\nВ предрелизной сборке iOS 17 обнаружили, что iPhone 14 Pro и 14 Pro Max получат возможность смены зоны фокуса на уже отснятой фотографии. Причём это касается не только новых снимков, но и всех кадров в галерее, которые уже были сделаны в портретном режиме. Также iPhone 14 Pro, наконец, сможет снимать 48 Мп снимки не только в RAW: появятся два новых формата (HEIF MAX и JPEG MAX).\n\nНа этом хорошие новости заканчиваются, и никаких 24 Мп фото и интеллектуального портретного режима со Smart HDR 5 и Spatial Video владельцы 14 Pro не увидят. Ну и на том спасибо.",1694909120,https://wylsa.com/wp-content/uploads/2023/09/iphone-15-pro-4.jpg
11,Статья,"Сколько нужно работать в разных странах, чтобы купить базовый iPhone 15 Pro?","Презентация новых айфонов прошла два дня назад как, а на ней продолжают плодить контент. Оно и понятно: аудитории интересно любое упоминание этих устройств, даже если это Android-пользователи, неугомонно желающие заявить о своём превосходстве.\n\nАналитики Picodi Россия посчитали, сколько дней нужно будет работать в разных странах, чтобы заработать на новый iPhone 15 Pro на 128 ГБ. В США его цена стартует с $999 до уплаты налогов (за такую сумму можно купить только в четырёх штатах). В Европе — от 1249 €, а в России ретейлеры назначили стартовую цену в 146 990 рублей.",1694912120,https://wylsa.com/wp-content/uploads/2023/09/iphone-15-pro-4.jpg
